Title,Genre,Actors,Rating
Mike and Dave Need Wedding Dates,"Adventure,Comedy,Romance","Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",6
Boyka: Undisputed IV,Action,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov",7.4
The Dark Knight Rises,"Action,Thriller","Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman",8.5
The Jungle Book,"Adventure,Drama,Family","Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",7.5
Transformers: Age of Extinction,"Action,Adventure,Sci-Fi","Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci",5.7
Nerve,"Adventure,Crime,Mystery","Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",6.6
Mamma Mia!,"Comedy,Family,Musical","Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård",6.4
The Revenant,"Adventure,Drama,Thriller","Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",8
Fences,Drama,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo",7.3
Into the Woods,"Adventure,Comedy,Drama","Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt",6
The Shallows,"Drama,Horror,Thriller","Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen",6.4
Whiplash,"Drama,Music","Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",8.5
Furious 6,"Action,Crime,Thriller","Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez",7.1
The Place Beyond the Pines,"Crime,Drama,Thriller","Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook",7.3
No Country for Old Men,"Crime,Drama,Thriller","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",8.1
The Great Gatsby,"Drama,Romance","Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire",7.3
Shutter Island,"Mystery,Thriller","Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley",8.1
Brimstone,"Mystery,Thriller,Western","Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten",7.1
Star Trek,"Action,Adventure,Sci-Fi","Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",8
Diary of a Wimpy Kid,"Comedy,Family","Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn",6.2
The Big Short,"Biography,Comedy,Drama","Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt",7.8
Room,Drama,"Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson",8.2
Django Unchained,"Drama,Western","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington",8.4
Ah-ga-ssi,"Drama,Mystery,Romance","Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon",8.1
The Edge of Seventeen,"Comedy,Drama","Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick",7.4
Watchmen,"Action,Drama,Mystery","Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman",7.6
Superbad,Comedy,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader",7.6
Inferno,"Action,Adventure,Crime","Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster",6.2
The BFG,"Adventure,Family,Fantasy","Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement",6.4
The Hunger Games,"Adventure,Sci-Fi,Thriller","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci",7.2
White Girl,Drama,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez",5.8
Sicario,"Action,Crime,Drama","Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",7.6
Twin Peaks: The Missing Pieces,"Drama,Horror,Mystery","Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder",8.1
Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi","Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz",4.7
Pacific Rim,"Action,Adventure,Sci-Fi","Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day",7
"Crazy, Stupid, Love.","Comedy,Drama,Romance","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",7.4
Scott Pilgrim vs. the World,"Action,Comedy,Fantasy","Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill",7.5
Hot Fuzz,"Action,Comedy,Mystery","Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy",7.9
Mine,"Thriller,War","Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer",6
Free Fire,"Action,Comedy,Crime","Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy",7
X-Men: Days of Future Past,"Action,Adventure,Sci-Fi","Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",8
Jack Reacher: Never Go Back,"Action,Adventure,Crime","Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper",6.1
Casino Royale,"Action,Adventure,Thriller","Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",8
Twilight,"Drama,Fantasy,Romance","Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke",5.2
Now You See Me 2,"Action,Adventure,Comedy","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",6.5
Woman in Gold,"Biography,Drama,History","Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes",7.3
13 Hours,"Action,Drama,History","John Krasinski, Pablo Schreiber, James Badge Dale,David Denman",7.3
Spectre,"Action,Adventure,Thriller","Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",6.8
Nightcrawler,"Crime,Drama,Thriller","Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed",7.9
Kubo and the Two Strings,"Animation,Adventure,Family","Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes",7.9
Beyond the Gates,"Adventure,Horror","Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton",5.2
Her,"Drama,Romance,Sci-Fi","Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara",8
Frozen,"Animation,Adventure,Comedy","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",7.5
Tomorrowland,"Action,Adventure,Family","George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy",6.5
Dawn of the Planet of the Apes,"Action,Adventure,Drama","Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",7.6
Tropic Thunder,"Action,Comedy","Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn",7
The Conjuring 2,"Horror,Mystery,Thriller","Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor",7.4
Ant-Man,"Action,Adventure,Comedy","Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly",7.3
Bridget Jones's Baby,"Comedy,Romance","Renée Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips",6.7
The VVitch: A New-England Folktale,"Horror,Mystery","Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings",6.8
Cinderella,"Drama,Family,Fantasy","Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter",7
Realive,Sci-Fi,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward",5.9
Forushande,"Drama,Thriller","Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini",8
Love,"Drama,Romance","Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra",6
Billy Lynn's Long Halftime Walk,"Drama,War","Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee",6.3
Crimson Peak,"Drama,Fantasy,Horror","Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam",6.6
Drive,"Crime,Drama","Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",7.8
Trainwreck,"Comedy,Drama,Romance","Amy Schumer, Bill Hader, Brie Larson, Colin Quinn",6.3
The Light Between Oceans,"Drama,Romance","Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery",7.2
Below Her Mouth,Drama,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen",5.6
Spotlight,"Crime,Drama,History","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",8.1
Morgan,"Horror,Sci-Fi,Thriller","Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare",5.8
Warrior,"Action,Drama,Sport","Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison",8.2
Captain America: The First Avenger,"Action,Adventure,Sci-Fi","Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell",6.9
Hacker,"Crime,Drama,Thriller","Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr.",6.3
Into the Wild,"Adventure,Biography,Drama","Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden",8.1
The Imitation Game,"Biography,Drama,Thriller","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech",8.1
Central Intelligence,"Action,Comedy,Crime","Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan",6.3
Edge of Tomorrow,"Action,Adventure,Sci-Fi","Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",7.9
A Cure for Wellness,"Drama,Fantasy,Horror","Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",6.5
Snowden,"Biography,Drama,Thriller","Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto",7.3
Iron Man,"Action,Adventure,Sci-Fi","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",7.9
Allegiant,"Action,Adventure,Mystery","Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts",5.7
X: First Class,"Action,Adventure,Sci-Fi","James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",7.8
Raw (II),"Drama,Horror","Garance Marillier, Ella Rumpf, Rabah Nait Oufella,Laurent Lucas",7.5
Paterson,"Comedy,Drama,Romance","Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji",7.5
Bridesmaids,"Comedy,Romance","Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews",6.8
The Girl with All the Gifts,"Drama,Horror,Thriller","Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine",6.7
San Andreas,"Action,Adventure,Drama","Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes",6.1
Spring Breakers,Drama,"Vanessa Hudgens, Selena Gomez, Ashley Benson,Rachel Korine",5.3
Transformers,"Action,Adventure,Sci-Fi","Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",7.1
Old Boy,"Action,Drama,Mystery","Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley",5.8
Thor: The Dark World,"Action,Adventure,Fantasy","Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan Skarsgård",7
Gods of Egypt,"Action,Adventure,Fantasy","Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",5.5
Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi","Chris Evans, Samuel L. Jackson,Scarlett Johansson, Robert Redford",7.8
Monster Trucks,"Action,Adventure,Comedy","Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",5.7
A Dark Song,"Drama,Horror","Mark Huberman, Susan Loughnane, Steve Oram,Catherine Walker",6.1
Kick-Ass,"Action,Comedy","Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown",7.7
Hardcore Henry,"Action,Adventure,Sci-Fi","Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky",6.7
Cars,"Animation,Adventure,Comedy","Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy",7.1
It Follows,"Horror,Mystery","Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe",6.9
The Girl with the Dragon Tattoo,"Crime,Drama,Mystery","Daniel Craig, Rooney Mara, Christopher Plummer,Stellan Skarsgård",7.8
We're the Millers,"Comedy,Crime","Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms",7
American Honey,Drama,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi",7
The Lobster,"Comedy,Drama,Romance","Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman",7.1
Predators,"Action,Adventure,Sci-Fi","Adrien Brody, Laurence Fishburne, Topher Grace,Alice Braga",6.4
Maleficent,"Action,Adventure,Family","Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville",7
Rupture,"Horror,Sci-Fi,Thriller","Noomi Rapace, Michael Chiklis, Kerry Bishé,Peter Stormare",4.8
Pan's Labyrinth,"Drama,Fantasy,War","Ivana Baquero, Ariadna Gil, Sergi López,Maribel Verdú",8.2
A Kind of Murder,"Crime,Drama,Thriller","Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser",5.2
